,pubdate,authors,title,fulljournalname,pubmed,doi,pmc
92,2022 Jul 8,"[{'name': 'Song Y', 'authtype': 'Author'}]",Construction of a Knowledge Map of Speech Emotion Features Based on Impulse-Coupled Neural Networks,Computational Intelligence and Neuroscience,35845880,10.1155/2022/8766145,PMC9286990
93,2022 Jul 8,"[{'name': 'Pestryakova S', 'authtype': 'Author'}, {'name': 'Vollmers D', 'authtype': 'Author'}, {'name': 'Sherif MA', 'authtype': 'Author'}, {'name': 'Heindorf S', 'authtype': 'Author'}, {'name': 'Saleem M', 'authtype': 'Author'}, {'name': 'Moussallem D', 'authtype': 'Author'}, {'name': 'Ngomo AC', 'authtype': 'Author'}]",CovidPubGraph: A FAIR Knowledge Graph of COVID-19 Publications,Scientific Data,35803947,10.1038/s41597-022-01298-2,PMC9263802
94,2022 Jul 7,"[{'name': 'Milano M', 'authtype': 'Author'}, {'name': 'Agapito G', 'authtype': 'Author'}, {'name': 'Cannataro M', 'authtype': 'Author'}]",Challenges and Limitations of Biological Network Analysis,BioTech,35892929,10.3390/biotech11030024,PMC9326688
95,2022 Jul 6,"[{'name': 'Ruchawapol C', 'authtype': 'Author'}, {'name': 'Fu WW', 'authtype': 'Author'}, {'name': 'Xu HX', 'authtype': 'Author'}]",A review on computational approaches that support the researches on traditional Chinese medicines (TCM) against COVID-19,Phytomedicine,35841663,10.1016/j.phymed.2022.154324,PMC9259013
96,2022 Jul 6,"[{'name': 'Ni P', 'authtype': 'Author'}, {'name': 'Okhrati R', 'authtype': 'Author'}, {'name': 'Guan S', 'authtype': 'Author'}, {'name': 'Chang V', 'authtype': 'Author'}]",Knowledge Graph and Deep Learning-based Text-to-GraphQL Model for Intelligent Medical Consultation Chatbot,Information Systems Frontiers,35815295,10.1007/s10796-022-10295-0,PMC9257573
97,2022 Jul 1,"[{'name': 'Zheng N', 'authtype': 'Author'}, {'name': 'Sun M', 'authtype': 'Author'}, {'name': 'Yang Y', 'authtype': 'Author'}]",Visual Analysis of College Sports Performance Based on Multimodal Knowledge Graph Optimization Neural Network,Computational Intelligence and Neuroscience,35814560,10.1155/2022/5398932,PMC9270164
98,2022 Jun 27,"[{'name': 'Toti D', 'authtype': 'Author'}, {'name': 'Macari G', 'authtype': 'Author'}, {'name': 'Barbierato E', 'authtype': 'Author'}, {'name': 'Polticelli F', 'authtype': 'Author'}]",FGDB: a comprehensive graph database of ligand fragments from the Protein Data Bank,Database: The Journal of Biological Databases and Curation,35763362,10.1093/database/baac044,PMC9239314
99,2022 Jun 24,"[{'name': 'Abid A', 'authtype': 'Author'}, {'name': 'Lee J', 'authtype': 'Author'}, {'name': 'Le Gall F', 'authtype': 'Author'}, {'name': 'Song J', 'authtype': 'Author'}]",Toward Mapping an NGSI-LD Context Model on RDF Graph Approaches: A Comparison Study,"Sensors (Basel, Switzerland)",35808295,10.3390/s22134798,PMC9269225
100,2022 Jun 20,"[{'name': 'Zhang H', 'authtype': 'Author'}, {'name': 'Chao B', 'authtype': 'Author'}, {'name': 'Huang Z', 'authtype': 'Author'}, {'name': 'Li T', 'authtype': 'Author'}]",Construction and Research on Chinese Semantic Mapping Based on Linguistic Features and Sparse Self-Learning Neural Networks,Computational Intelligence and Neuroscience,35769283,10.1155/2022/2315802,PMC9236845
101,2022 Jun 18,"[{'name': 'Horst R', 'authtype': 'Author'}, {'name': 'Gerstmeier S', 'authtype': 'Author'}, {'name': 'Naraghi-Taghi-Off R', 'authtype': 'Author'}, {'name': 'Wagner J', 'authtype': 'Author'}, {'name': 'Rau L', 'authtype': 'Author'}, {'name': 'Dörner R', 'authtype': 'Author'}]",Virtual reality content creation based on self-contained components in the e-learning domain: Re-using pattern-based vr content in different authoring toolkits,Multimedia Tools and Applications,35755621,10.1007/s11042-022-13362-5,PMC9206100
102,2022 Jun 15,"[{'name': 'Smith P', 'authtype': 'Author'}, {'name': 'Hayes SC', 'authtype': 'Author'}]",An Open-Source Relational Network Derivation Script in R for Modeling and Visualizing Complex Behavior for Scientists and Practitioners,Frontiers in Psychology,35783756,10.3389/fpsyg.2022.914485,PMC9240703
103,2022 Jun 15,"[{'name': 'Kim HJ', 'authtype': 'Author'}, {'name': 'Shin SY', 'authtype': 'Author'}, {'name': 'Jeong SH', 'authtype': 'Author'}]",Nature and Extent of Physical Comorbidities Among Korean Patients With Mental Illnesses: Pairwise and Network Analysis Based on Health Insurance Claims Data,Psychiatry Investigation,35753688,10.30773/pi.2022.0068,PMC9233950
104,2022 Jun 14,"[{'name': 'Allegri SA', 'authtype': 'Author'}, {'name': 'McCoy K', 'authtype': 'Author'}, {'name': 'Mitchell CS', 'authtype': 'Author'}]",CompositeView: A Network-Based Visualization Tool,Big data and cognitive computing,35847767,10.3390/bdcc6020066,PMC9281616
105,2022 Jun 14,"[{'name': 'Geng L', 'authtype': 'Author'}]",The Recommendation System of Innovation and Entrepreneurship Education Resources in Universities Based on Improved Collaborative Filtering Model,Computational Intelligence and Neuroscience,35747724,10.1155/2022/7228833,PMC9213131
106,2022 Jun 10,"[{'name': 'Sreejith R', 'authtype': 'Author'}, {'name': 'Senthil S', 'authtype': 'Author'}]",Dynamic Data Infrastructure Security for Interoperable e-Healthcare Systems: A Semantic Feature-Driven NoSQL Intrusion Attack Detection Model,BioMed Research International,35722459,10.1155/2022/4080199,PMC9205707
107,2022 Jun 6,"[{'name': 'Unni DR', 'authtype': 'Author'}, {'name': 'Moxon SA', 'authtype': 'Author'}, {'name': 'Bada M', 'authtype': 'Author'}, {'name': 'Brush M', 'authtype': 'Author'}, {'name': 'Bruskiewich R', 'authtype': 'Author'}, {'name': 'Caufield JH', 'authtype': 'Author'}, {'name': 'Clemons PA', 'authtype': 'Author'}, {'name': 'Dancik V', 'authtype': 'Author'}, {'name': 'Dumontier M', 'authtype': 'Author'}, {'name': 'Fecho K', 'authtype': 'Author'}, {'name': 'Glusman G', 'authtype': 'Author'}, {'name': 'Hadlock JJ', 'authtype': 'Author'}, {'name': 'Harris NL', 'authtype': 'Author'}, {'name': 'Joshi A', 'authtype': 'Author'}, {'name': 'Putman T', 'authtype': 'Author'}, {'name': 'Qin G', 'authtype': 'Author'}, {'name': 'Ramsey SA', 'authtype': 'Author'}, {'name': 'Shefchek KA', 'authtype': 'Author'}, {'name': 'Solbrig H', 'authtype': 'Author'}, {'name': 'Soman K', 'authtype': 'Author'}, {'name': 'Thessen AE', 'authtype': 'Author'}, {'name': 'Haendel MA', 'authtype': 'Author'}, {'name': 'Bizon C', 'authtype': 'Author'}, {'name': 'Mungall CJ', 'authtype': 'Author'}, {'name': 'The Biomedical Data Translator Consortium', 'authtype': 'CollectiveName'}, {'name': 'Acevedo L', 'authtype': 'Author'}, {'name': 'Ahalt SC', 'authtype': 'Author'}, {'name': 'Alden J', 'authtype': 'Author'}, {'name': 'Alkanaq A', 'authtype': 'Author'}, {'name': 'Amin N', 'authtype': 'Author'}, {'name': 'Avila R', 'authtype': 'Author'}, {'name': 'Balhoff J', 'authtype': 'Author'}, {'name': 'Baranzini SE', 'authtype': 'Author'}, {'name': 'Baumgartner A', 'authtype': 'Author'}, {'name': 'Baumgartner W', 'authtype': 'Author'}, {'name': 'Belhu B', 'authtype': 'Author'}, {'name': 'Brandes M', 'authtype': 'Author'}, {'name': 'Brandon N', 'authtype': 'Author'}, {'name': 'Burtt N', 'authtype': 'Author'}, {'name': 'Byrd W', 'authtype': 'Author'}, {'name': 'Callaghan J', 'authtype': 'Author'}, {'name': 'Cano MA', 'authtype': 'Author'}, {'name': 'Carrell S', 'authtype': 'Author'}, {'name': 'Celebi R', 'authtype': 'Author'}, {'name': 'Champion J', 'authtype': 'Author'}, {'name': 'Chen Z', 'authtype': 'Author'}, {'name': 'Chen M', 'authtype': 'Author'}, {'name': 'Chung L', 'authtype': 'Author'}, {'name': 'Cohen K', 'authtype': 'Author'}, {'name': 'Conlin T', 'authtype': 'Author'}, {'name': 'Corkill D', 'authtype': 'Author'}, {'name': 'Costanzo M', 'authtype': 'Author'}, {'name': 'Cox S', 'authtype': 'Author'}, {'name': 'Crouse A', 'authtype': 'Author'}, {'name': 'Crowder C', 'authtype': 'Author'}, {'name': 'Crumbley ME', 'authtype': 'Author'}, {'name': 'Dai C', 'authtype': 'Author'}, {'name': 'Dančík V', 'authtype': 'Author'}, {'name': 'De Miranda Azevedo R', 'authtype': 'Author'}, {'name': 'Deutsch E', 'authtype': 'Author'}, {'name': 'Dougherty J', 'authtype': 'Author'}, {'name': 'Duby MP', 'authtype': 'Author'}, {'name': 'Duvvuri V', 'authtype': 'Author'}, {'name': 'Edwards S', 'authtype': 'Author'}, {'name': 'Emonet V', 'authtype': 'Author'}, {'name': 'Fehrmann N', 'authtype': 'Author'}, {'name': 'Flannick J', 'authtype': 'Author'}, {'name': 'Foksinska AM', 'authtype': 'Author'}, {'name': 'Gardner V', 'authtype': 'Author'}, {'name': 'Gatica E', 'authtype': 'Author'}, {'name': 'Glen A', 'authtype': 'Author'}, {'name': 'Goel P', 'authtype': 'Author'}, {'name': 'Gormley J', 'authtype': 'Author'}, {'name': 'Greyber A', 'authtype': 'Author'}, {'name': 'Haaland P', 'authtype': 'Author'}, {'name': 'Hanspers K', 'authtype': 'Author'}, {'name': 'He K', 'authtype': 'Author'}, {'name': 'He K', 'authtype': 'Author'}, {'name': 'Henrickson J', 'authtype': 'Author'}, {'name': 'Hinderer EW', 'authtype': 'Author'}, {'name': 'Hoatlin M', 'authtype': 'Author'}, {'name': 'Hoffman A', 'authtype': 'Author'}, {'name': 'Huang S', 'authtype': 'Author'}, {'name': 'Huang C', 'authtype': 'Author'}, {'name': 'Hubal R', 'authtype': 'Author'}, {'name': 'Huellas‐Bruskiewicz K', 'authtype': 'Author'}, {'name': 'Huls FB', 'authtype': 'Author'}, {'name': 'Hunter L', 'authtype': 'Author'}, {'name': 'Hyde G', 'authtype': 'Author'}, {'name': 'Issabekova T', 'authtype': 'Author'}, {'name': 'Jarrell M', 'authtype': 'Author'}, {'name': 'Jenkins L', 'authtype': 'Author'}, {'name': 'Johs A', 'authtype': 'Author'}, {'name': 'Kang J', 'authtype': 'Author'}, {'name': 'Kanwar R', 'authtype': 'Author'}, {'name': 'Kebede Y', 'authtype': 'Author'}, {'name': 'Kim KJ', 'authtype': 'Author'}, {'name': 'Kluge A', 'authtype': 'Author'}, {'name': 'Knowles M', 'authtype': 'Author'}, {'name': 'Koesterer R', 'authtype': 'Author'}, {'name': 'Korn D', 'authtype': 'Author'}, {'name': 'Koslicki D', 'authtype': 'Author'}, {'name': 'Krishnamurthy A', 'authtype': 'Author'}, {'name': 'Kvarfordt L', 'authtype': 'Author'}, {'name': 'Lee J', 'authtype': 'Author'}, {'name': 'Leigh M', 'authtype': 'Author'}, {'name': 'Lin J', 'authtype': 'Author'}, {'name': 'Liu Z', 'authtype': 'Author'}, {'name': 'Liu S', 'authtype': 'Author'}, {'name': 'Ma C', 'authtype': 'Author'}, {'name': 'Magis A', 'authtype': 'Author'}, {'name': 'Mamidi T', 'authtype': 'Author'}, {'name': 'Mandal M', 'authtype': 'Author'}, {'name': 'Mantilla M', 'authtype': 'Author'}, {'name': 'Massung J', 'authtype': 'Author'}, {'name': 'Mauldin D', 'authtype': 'Author'}, {'name': 'McClelland J', 'authtype': 'Author'}, {'name': 'McMurry J', 'authtype': 'Author'}, {'name': 'Mease P', 'authtype': 'Author'}, {'name': 'Mendoza L', 'authtype': 'Author'}, {'name': 'Mersmann M', 'authtype': 'Author'}, {'name': 'Mesbah A', 'authtype': 'Author'}, {'name': 'Might M', 'authtype': 'Author'}, {'name': 'Morton K', 'authtype': 'Author'}, {'name': 'Muller S', 'authtype': 'Author'}, {'name': 'Muluka AT', 'authtype': 'Author'}, {'name': 'Osborne J', 'authtype': 'Author'}, {'name': 'Owen P', 'authtype': 'Author'}, {'name': 'Patton M', 'authtype': 'Author'}, {'name': 'Peden DB', 'authtype': 'Author'}, {'name': 'Peene RC', 'authtype': 'Author'}, {'name': 'Persaud B', 'authtype': 'Author'}, {'name': 'Pfaff E', 'authtype': 'Author'}, {'name': 'Pico A', 'authtype': 'Author'}, {'name': 'Pollard E', 'authtype': 'Author'}, {'name': 'Price G', 'authtype': 'Author'}, {'name': 'Raj S', 'authtype': 'Author'}, {'name': 'Reilly J', 'authtype': 'Author'}, {'name': 'Riutta A', 'authtype': 'Author'}, {'name': 'Roach J', 'authtype': 'Author'}, {'name': 'Roper RT', 'authtype': 'Author'}, {'name': 'Rosenblatt G', 'authtype': 'Author'}, {'name': 'Rubin I', 'authtype': 'Author'}, {'name': 'Rucka S', 'authtype': 'Author'}, {'name': 'Rudavsky‐Brody N', 'authtype': 'Author'}, {'name': 'Sakaguchi R', 'authtype': 'Author'}, {'name': 'Santos E', 'authtype': 'Author'}, {'name': 'Schaper K', 'authtype': 'Author'}, {'name': 'Schmitt CP', 'authtype': 'Author'}, {'name': 'Schurman S', 'authtype': 'Author'}, {'name': 'Scott E', 'authtype': 'Author'}, {'name': 'Seitanakis S', 'authtype': 'Author'}, {'name': 'Sharma P', 'authtype': 'Author'}, {'name': 'Shmulevich I', 'authtype': 'Author'}, {'name': 'Shrestha M', 'authtype': 'Author'}, {'name': 'Shrivastava S', 'authtype': 'Author'}, {'name': 'Sinha M', 'authtype': 'Author'}, {'name': 'Smith B', 'authtype': 'Author'}, {'name': 'Southall N', 'authtype': 'Author'}, {'name': 'Southern N', 'authtype': 'Author'}, {'name': 'Stillwell L', 'authtype': 'Author'}, {'name': 'Strasser M""', 'authtype': 'Author'}, {'name': 'Su AI', 'authtype': 'Author'}, {'name': 'Ta C', 'authtype': 'Author'}, {'name': 'Thessen AE', 'authtype': 'Author'}, {'name': 'Tinglin J', 'authtype': 'Author'}, {'name': 'Tonstad L', 'authtype': 'Author'}, {'name': 'Tran‐Nguyen T', 'authtype': 'Author'}, {'name': 'Tropsha A', 'authtype': 'Author'}, {'name': 'Vaidya G', 'authtype': 'Author'}, {'name': 'Veenhuis L', 'authtype': 'Author'}, {'name': 'Viola A', 'authtype': 'Author'}, {'name': 'von Grotthuss M', 'authtype': 'Author'}, {'name': 'Wang M', 'authtype': 'Author'}, {'name': 'Wang P', 'authtype': 'Author'}, {'name': 'Watkins PB', 'authtype': 'Author'}, {'name': 'Weber R', 'authtype': 'Author'}, {'name': 'Wei Q', 'authtype': 'Author'}, {'name': 'Weng C', 'authtype': 'Author'}, {'name': 'Whitlock J', 'authtype': 'Author'}, {'name': 'Williams MD', 'authtype': 'Author'}, {'name': 'Williams A', 'authtype': 'Author'}, {'name': 'Womack F', 'authtype': 'Author'}, {'name': 'Wood E', 'authtype': 'Author'}, {'name': 'Wu C', 'authtype': 'Author'}, {'name': 'Xin JK', 'authtype': 'Author'}, {'name': 'Xu H', 'authtype': 'Author'}, {'name': 'Xu C', 'authtype': 'Author'}, {'name': 'Yakaboski C', 'authtype': 'Author'}, {'name': 'Yao Y', 'authtype': 'Author'}, {'name': 'Yi H', 'authtype': 'Author'}, {'name': 'Yilmaz A', 'authtype': 'Author'}, {'name': 'Zheng M', 'authtype': 'Author'}, {'name': 'Zhou X', 'authtype': 'Author'}, {'name': 'Zhou E', 'authtype': 'Author'}, {'name': 'Zhu Q', 'authtype': 'Author'}, {'name': 'Zisk T', 'authtype': 'Author'}]","Biolink Model: A universal schema for knowledge graphs in clinical, biomedical, and translational science",Clinical and Translational Science,36125173,10.1111/cts.13302,PMC9372416
108,2022 Jun 2,"[{'name': 'Feng B', 'authtype': 'Author'}, {'name': 'Gao J', 'authtype': 'Author'}]","AnthraxKP: a knowledge graph-based, Anthrax Knowledge Portal mined from biomedical literature",Database: The Journal of Biological Databases and Curation,35653350,10.1093/database/baac037,PMC9216567
109,2022 Jun 2,"[{'name': 'Filetti V', 'authtype': 'Author'}, {'name': 'La Ferlita A', 'authtype': 'Author'}, {'name': 'Di Maria A', 'authtype': 'Author'}, {'name': 'Cardile V', 'authtype': 'Author'}, {'name': 'Graziano AC', 'authtype': 'Author'}, {'name': 'Rapisarda V', 'authtype': 'Author'}, {'name': 'Ledda C', 'authtype': 'Author'}, {'name': 'Pulvirenti A', 'authtype': 'Author'}, {'name': 'Loreto C', 'authtype': 'Author'}]",Dysregulation of microRNAs and tRNA-derived ncRNAs in mesothelial and mesothelioma cell lines after asbestiform fiber exposure,Scientific Reports,35654808,10.1038/s41598-022-13044-0,PMC9163335
110,2022 Jun 2,"[{'name': 'Peng J', 'authtype': 'Author'}, {'name': 'Xu D', 'authtype': 'Author'}, {'name': 'Lee R', 'authtype': 'Author'}, {'name': 'Xu S', 'authtype': 'Author'}, {'name': 'Zhou Y', 'authtype': 'Author'}, {'name': 'Wang K', 'authtype': 'Author'}]",Expediting knowledge acquisition by a web framework for Knowledge Graph Exploration and Visualization (KGEV): case studies on COVID-19 and Human Phenotype Ontology,BMC Medical Informatics and Decision Making,35655307,10.1186/s12911-022-01848-z,PMC9161770
111,2022 Jun 1,"[{'name': 'Fei X', 'authtype': 'Author'}, {'name': 'Chen P', 'authtype': 'Author'}, {'name': 'Wei L', 'authtype': 'Author'}, {'name': 'Huang Y', 'authtype': 'Author'}, {'name': 'Xin Y', 'authtype': 'Author'}, {'name': 'Li J', 'authtype': 'Author'}]",Quality Management of Pulmonary Nodule Radiology Reports Based on Natural Language Processing,Bioengineering,35735487,10.3390/bioengineering9060244,PMC9220149
112,2022 May 14,"[{'name': 'Wang J', 'authtype': 'Author'}, {'name': 'Wu M', 'authtype': 'Author'}, {'name': 'Huang X', 'authtype': 'Author'}, {'name': 'Wang L', 'authtype': 'Author'}, {'name': 'Zhang S', 'authtype': 'Author'}, {'name': 'Liu H', 'authtype': 'Author'}, {'name': 'Zheng J', 'authtype': 'Author'}]",SynLethDB 2.0: a web-based knowledge graph database on synthetic lethality for novel anticancer drug discovery,Database: The Journal of Biological Databases and Curation,35562840,10.1093/database/baac030,PMC9216587
113,2022 May 14,"[{'name': 'Xie K', 'authtype': 'Author'}, {'name': 'Zheng C', 'authtype': 'Author'}, {'name': 'Wang GM', 'authtype': 'Author'}, {'name': 'Diao YF', 'authtype': 'Author'}, {'name': 'Luo C', 'authtype': 'Author'}, {'name': 'Wang E', 'authtype': 'Author'}, {'name': 'Hu LW', 'authtype': 'Author'}, {'name': 'Ren ZJ', 'authtype': 'Author'}, {'name': 'Luo J', 'authtype': 'Author'}, {'name': 'Ren BH', 'authtype': 'Author'}, {'name': 'Shen Y', 'authtype': 'Author'}]",Association between delta anion gap and hospital mortality for patients in cardiothoracic surgery recovery unit: a retrospective cohort study,BMC Surgery,35568886,10.1186/s12893-022-01625-9,PMC9107697
114,2022 May 13,"[{'name': 'Liao D', 'authtype': 'Author'}]",Construction of Knowledge Graph English Online Homework Evaluation System Based on Multimodal Neural Network Feature Extraction,Computational Intelligence and Neuroscience,35602643,10.1155/2022/7941414,PMC9122670
115,2022 May 13,"[{'name': 'Wang H', 'authtype': 'Author'}, {'name': 'Du H', 'authtype': 'Author'}, {'name': 'Qi G', 'authtype': 'Author'}, {'name': 'Chen H', 'authtype': 'Author'}, {'name': 'Hu W', 'authtype': 'Author'}, {'name': 'Chen Z', 'authtype': 'Author'}]",Construction of a Linked Data Set of COVID-19 Knowledge Graphs: Development and Applications,JMIR Medical Informatics,35476822,10.2196/37215,PMC9109781
116,2022 May 12,"[{'name': 'Yang Z', 'authtype': 'Author'}, {'name': 'Bi Y', 'authtype': 'Author'}, {'name': 'Wang L', 'authtype': 'Author'}, {'name': 'Cao D', 'authtype': 'Author'}, {'name': 'Li R', 'authtype': 'Author'}, {'name': 'Li Q', 'authtype': 'Author'}]",Development and application of a field knowledge graph and search engine for pavement engineering,Scientific Reports,35550555,10.1038/s41598-022-11604-y,PMC9098876
117,2022 May 10,"[{'name': 'Li PH', 'authtype': 'Author'}, {'name': 'Chen TF', 'authtype': 'Author'}, {'name': 'Yu JY', 'authtype': 'Author'}, {'name': 'Shih SH', 'authtype': 'Author'}, {'name': 'Su CH', 'authtype': 'Author'}, {'name': 'Lin YH', 'authtype': 'Author'}, {'name': 'Tsai HK', 'authtype': 'Author'}, {'name': 'Juan HF', 'authtype': 'Author'}, {'name': 'Chen CY', 'authtype': 'Author'}, {'name': 'Huang JH', 'authtype': 'Author'}]",pubmedKB: an interactive web server for exploring biomedical entity relations in the biomedical literature,Nucleic Acids Research,35536289,10.1093/nar/gkac310,PMC9252824
118,2022 May 6,"[{'name': 'Jagdish M', 'authtype': 'Author'}, {'name': 'Shah DU', 'authtype': 'Author'}, {'name': 'Agarwal V', 'authtype': 'Author'}, {'name': 'Loganathan GB', 'authtype': 'Author'}, {'name': 'Alqahtani A', 'authtype': 'Author'}, {'name': 'Rahin SA', 'authtype': 'Author'}]",Identification of End-User Economical Relationship Graph Using Lightweight Blockchain-Based BERT Model,Computational Intelligence and Neuroscience,35571695,10.1155/2022/6546913,PMC9106479
119,2022 May 5,"[{'name': 'Lin S', 'authtype': 'Author'}]",Implementation of Personalized Scenic Spot Recommendation Algorithm Based on Generalized Regression Neural Network for 5G Smart Tourism System,Computational Intelligence and Neuroscience,35571704,10.1155/2022/3704494,PMC9098284
120,2022 Apr 30,"[{'name': 'Mao Z', 'authtype': 'Author'}, {'name': 'Wang R', 'authtype': 'Author'}, {'name': 'Li H', 'authtype': 'Author'}, {'name': 'Huang Y', 'authtype': 'Author'}, {'name': 'Zhang Q', 'authtype': 'Author'}, {'name': 'Liao X', 'authtype': 'Author'}, {'name': 'Ma H', 'authtype': 'Author'}]","ERMer: a serverless platform for navigating, analyzing, and visualizing Escherichia coli regulatory landscape through graph database",Nucleic Acids Research,35489073,10.1093/nar/gkac288,PMC9252789
121,2022 Apr 28,"[{'name': 'Di Maria A', 'authtype': 'Author'}, {'name': 'Alaimo S', 'authtype': 'Author'}, {'name': 'Bellomo L', 'authtype': 'Author'}, {'name': 'Billeci F', 'authtype': 'Author'}, {'name': 'Ferragina P', 'authtype': 'Author'}, {'name': 'Ferro A', 'authtype': 'Author'}, {'name': 'Pulvirenti A', 'authtype': 'Author'}]",BioTAGME: A Comprehensive Platform for Biological Knowledge Network Analysis,Frontiers in Genetics,35571058,10.3389/fgene.2022.855739,PMC9096447
122,2022 Apr 27,"[{'name': 'Zhu X', 'authtype': 'Author'}, {'name': 'Gu Y', 'authtype': 'Author'}, {'name': 'Xiao Z', 'authtype': 'Author'}]",HerbKG: Constructing a Herbal-Molecular Medicine Knowledge Graph Using a Two-Stage Framework Based on Deep Transfer Learning,Frontiers in Genetics,35571049,10.3389/fgene.2022.799349,PMC9091197
123,2022 Apr 25,"[{'name': 'de Bono B', 'authtype': 'Author'}, {'name': 'Gillespie T', 'authtype': 'Author'}, {'name': 'Surles-Zeigler MC', 'authtype': 'Author'}, {'name': 'Kokash N', 'authtype': 'Author'}, {'name': 'Grethe JS', 'authtype': 'Author'}, {'name': 'Martone M', 'authtype': 'Author'}]",Representing Normal and Abnormal Physiology as Routes of Flow in ApiNATOMY,Frontiers in Physiology,35547570,10.3389/fphys.2022.795303,PMC9083405
124,2022 Apr 25,"[{'name': 'Queralt-Rosinach N', 'authtype': 'Author'}, {'name': 'Kaliyaperumal R', 'authtype': 'Author'}, {'name': 'Bernabé CH', 'authtype': 'Author'}, {'name': 'Long Q', 'authtype': 'Author'}, {'name': 'Joosten SA', 'authtype': 'Author'}, {'name': 'van der Wijk HJ', 'authtype': 'Author'}, {'name': 'Flikkenschild EL', 'authtype': 'Author'}, {'name': 'Burger K', 'authtype': 'Author'}, {'name': 'Jacobsen A', 'authtype': 'Author'}, {'name': 'Mons B', 'authtype': 'Author'}, {'name': 'Roos M', 'authtype': 'Author'}, {'name': 'BEAT-COVID Group', 'authtype': 'CollectiveName'}, {'name': 'COVID-19 LUMC Group', 'authtype': 'CollectiveName'}]",Applying the FAIR principles to data in a hospital: challenges and opportunities in a pandemic,Journal of Biomedical Semantics,35468846,10.1186/s13326-022-00263-7,PMC9036506
125,2022 Apr 19,"[{'name': 'Taha K', 'authtype': 'Author'}, {'name': 'Yoo P', 'authtype': 'Author'}, {'name': 'Eddinari FZ', 'authtype': 'Author'}]",Detecting implicit cross-communities to which an active user belongs,PLoS ONE,35439250,10.1371/journal.pone.0264771,PMC9017956
126,2022 Apr 18,"[{'name': 'Dekker J', 'authtype': 'Author'}, {'name': 'van Dongen JJ', 'authtype': 'Author'}, {'name': 'Reinders MJ', 'authtype': 'Author'}, {'name': 'Khatri I', 'authtype': 'Author'}]",pmTR database: population matched (pm) germline allelic variants of T-cell receptor (TR) loci,Genes and Immunity,35436998,10.1038/s41435-022-00171-x,PMC9042698
127,2022 Apr 15,"[{'name': 'Zhang L', 'authtype': 'Author'}, {'name': 'Yang X', 'authtype': 'Author'}, {'name': 'Li S', 'authtype': 'Author'}, {'name': 'Liao T', 'authtype': 'Author'}, {'name': 'Pan G', 'authtype': 'Author'}]",Answering medical questions in Chinese using automatically mined knowledge and deep neural networks: an end-to-end solution,BMC Bioinformatics,35428175,10.1186/s12859-022-04658-2,PMC9013171
128,2022 Apr 15,"[{'name': 'Grosjean H', 'authtype': 'Author'}, {'name': 'Işık M', 'authtype': 'Author'}, {'name': 'Aimon A', 'authtype': 'Author'}, {'name': 'Mobley D', 'authtype': 'Author'}, {'name': 'Chodera J', 'authtype': 'Author'}, {'name': 'von Delft F', 'authtype': 'Author'}, {'name': 'Biggin PC', 'authtype': 'Author'}]",SAMPL7 protein-ligand challenge: A community-wide evaluation of computational methods against fragment screening and pose-prediction,Journal of Computer-Aided Molecular Design,35426591,10.1007/s10822-022-00452-7,PMC9010448
129,2022 Apr 13,"[{'name': 'Schmidtke J', 'authtype': 'Author'}, {'name': 'Philipp P', 'authtype': 'Author'}, {'name': 'Rommel K', 'authtype': 'Author'}, {'name': 'Glaubitz R', 'authtype': 'Author'}, {'name': 'Epplen JT', 'authtype': 'Author'}, {'name': 'Krawczak M', 'authtype': 'Author'}]",PanelDesign: Integrating Epidemiological Information into the Design of Diagnostic NGS Gene Panels,Genes,35456490,10.3390/genes13040684,PMC9030971
130,2022 Apr 8,"[{'name': 'Bali A', 'authtype': 'Author'}, {'name': 'Bali N', 'authtype': 'Author'}]",Role of artificial intelligence in fast-track drug discovery and vaccine development for COVID-19,Novel AI and Data Science Advancements for Sustainability in the Era of COVID-19,0,10.1016/B978-0-323-90054-6.00006-4,PMC9069021
131,2022 Apr 7,[],Abstracts from the 54th European Society of Human Genetics (ESHG) Conference: e-Posters,European Journal of Human Genetics,35393538,10.1038/s41431-021-01026-1,PMC9063679
132,2022 Mar 29,"[{'name': 'Gage JL', 'authtype': 'Author'}, {'name': 'Mali S', 'authtype': 'Author'}, {'name': 'McLoughlin F', 'authtype': 'Author'}, {'name': 'Khaipho-Burch M', 'authtype': 'Author'}, {'name': 'Monier B', 'authtype': 'Author'}, {'name': 'Bailey-Serres J', 'authtype': 'Author'}, {'name': 'Vierstra RD', 'authtype': 'Author'}, {'name': 'Buckler ES', 'authtype': 'Author'}]",Variation in upstream open reading frames contributes to allelic diversity in maize protein abundance,Proceedings of the National Academy of Sciences of the United States of America,35349347,10.1073/pnas.2112516119,PMC9169109
