,Date,Author,Title,Publication Title,PMID,DOI,PMCID,Link Attachments
173,2016,"Preusse M, Theis FJ, Mueller NS",miTALOS v2: Analyzing Tissue Specific microRNA Function.,PloS one,26998997,10.1371/journal.pone.0151771,PMC4801359,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4801359
174,2016 Jan 25,"Saunders CJ, Jalali Sefid Dashti M, Gamieldien J",Semantic interrogation of a multi knowledge domain ontological model of tendinopathy identifies four strong candidate risk genes.,Scientific reports,26804977,10.1038/srep19820,PMC4726433,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4726433
175,2016,"Kuzmin K, Lu X, Mukherjee PS, Zhuang J, Gaiteri C, Szymanski BK",Supporting novel biomedical research via multilayer collaboration networks.,Applied network science,30533503,10.1007/s41109-016-0015-y,PMC6245218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6245218
176,2016 Apr 15,"Bottomly D, McWeeney SK, Wilmot B",HitWalker2: visual analytics for precision medicine and beyond.,"Bioinformatics (Oxford, England)",26708334,10.1093/bioinformatics/btv739,PMC4824131,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4824131
177,2016 Jan,"Dai X, Li J, Liu T, Zhao PX","HRGRN: A Graph Search-Empowered Integrative Database of Arabidopsis Signaling Transduction, Metabolism and Gene Regulation Networks.",Plant & cell physiology,26657893,10.1093/pcp/pcv200,PMC4722177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4722177
178,2015,"Alocci D, Mariethoz J, Horlacher O, Bolleman JT, Campbell MP, Lisacek F",Property Graph vs RDF Triple Store: A Comparison on Glycan Substructure Search.,PloS one,26656740,10.1371/journal.pone.0144578,PMC4684231,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4684231
179,2015 Nov 15,"Mulholland DS, Poitrasson F, Boaventura GR",Effects of different water storage procedures on the dissolved Fe concentration and isotopic composition of chemically contrasted waters from the Amazon River Basin.,Rapid communications in mass spectrometry : RCM,26443413,10.1002/rcm.7368,both_none_180,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_180
180,2015 Oct,"Campbell WS, Pedersen J, McClay JC, Rao P, Bastola D, Campbell JR",An alternative database approach for management of SNOMED CT and improved patient data queries.,Journal of biomedical informatics,26305513,10.1016/j.jbi.2015.08.016,both_none_181,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_181
181,2015 Dec 1,"Summer G, Kelder T, Ono K, Radonjic M, Heymans S, Demchak B",cyNeo4j: connecting Neo4j and Cytoscape.,"Bioinformatics (Oxford, England)",26272981,10.1093/bioinformatics/btv460,PMC4653389,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653389
182,2015,"Hristovski D, Kastrin A, Dinevski D, Rindflesch TC",Constructing a Graph Database for Semantic Literature-Based Discovery.,Studies in health technology and informatics,26262393,both_none_183,both_none_183,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_183
183,2015,"Henkel R, Wolkenhauer O, Waltemath D","Combining computational models, semantic annotations and simulation experiments in a graph database.",Database : the journal of biological databases and curation,25754863,10.1093/database/bau130,PMC4352687,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4352687
184,2015 Mar,"Soulakis ND, Carson MB, Lee YJ, Schneider DH, Skeehan CT, Scholtens DM",Visualizing collaborative electronic health record usage for hospitalized patients with heart failure.,Journal of the American Medical Informatics Association : JAMIA,25710558,10.1093/jamia/ocu017,PMC4394967,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4394967
185,2015 Mar 6,"Muth T, Behne A, Heyer R, Kohrs F, Benndorf D, Hoffmann M, Lehtevä M, Reichl U, Martens L, Rapp E",The MetaProteomeAnalyzer: a powerful open-source software suite for metaproteomics data analysis and interpretation.,Journal of proteome research,25660940,10.1021/pr501246w,both_none_186,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_186
186,2014,"Johnson D, Connor AJ, McKeever S, Wang Z, Deisboeck TS, Quaiser T, Shochat E",Semantically linking in silico cancer models.,Cancer informatics,25520553,10.4137/CIN.S13895,PMC4260769,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260769
187,2014,"Zhu L, Song Q, Guo Y, Du L, Zhu X, Wang G",A coding method for efficient subgraph querying on vertex- and edge-labeled graphs.,PloS one,24853266,10.1371/journal.pone.0097178,PMC4031119,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031119
188,2014 Jan-Feb,"Liang Zhao, Hoi SC, Li Z, Wong L, Nguyen H, Li J","Coupling Graphs, Efficient Algorithms and B-Cell Epitope Prediction.",IEEE/ACM transactions on computational biology and bioinformatics,26355502,10.1109/TCBB.2013.136,both_none_189,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_189
189,2013 Dec 15,"Have CT, Jensen LJ",Are graph databases ready for bioinformatics?,"Bioinformatics (Oxford, England)",24135261,10.1093/bioinformatics/btt549,PMC3842757,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3842757
190,2014 Jan 3,"Woo S, Cha SW, Merrihew G, He Y, Castellana N, Guest C, MacCoss M, Bafna V",Proteogenomic database construction driven from large scale RNA-seq data.,Journal of proteome research,23802565,10.1021/pr400294c,PMC4034692,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4034692
191,2013 May 15,"Di Lena P, Wu G, Martelli PL, Casadio R, Nardini C",MIMO: an efficient tool for molecular interaction maps overlap.,BMC bioinformatics,23672344,10.1186/1471-2105-14-159,PMC3680968,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3680968
192,2012 Dec,"Wenger S, Ament M, Guthe S, Lorenz D, Tillmann A, Weiskopf D, Magnor M",Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography.,IEEE transactions on visualization and computer graphics,26357126,10.1109/TVCG.2012.281,both_none_193,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_193
193,2012 Oct 1,"Boeva V, Lermine A, Barette C, Guillouf C, Barillot E",Nebula--a web-server for advanced ChIP-seq data analysis.,"Bioinformatics (Oxford, England)",22829625,10.1093/bioinformatics/bts463,both_none_194,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_194
194,2012 Jan 25,"Mironov V, Seethappan N, Blondé W, Antezana E, Splendiani A, Kuiper M",Gauging triple stores with actual biological data.,BMC bioinformatics,22373359,10.1186/1471-2105-13-S1-S3,PMC3471352,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3471352
195,2012 Jan,"Schriml LM, Arze C, Nadendla S, Chang YW, Mazaitis M, Felix V, Feng G, Kibbe WA",Disease Ontology: a backbone for disease semantic integration.,Nucleic acids research,22080554,10.1093/nar/gkr972,PMC3245088,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3245088
196,2010 Apr-Jun,"Smalter A, Huan JL, Jia Y, Lushington G",GPD: a graph pattern diffusion kernel for accurate graph classification with applications in cheminformatics.,IEEE/ACM transactions on computational biology and bioinformatics,20431140,10.1109/TCBB.2009.80,PMC3058227,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058227
197,2010 Feb 19,"Di Natale R, Ferro A, Giugno R, Mongiovì M, Pulvirenti A, Shasha D",SING: subgraph search in non-homogeneous graphs.,BMC bioinformatics,20170516,10.1186/1471-2105-11-96,PMC2850364,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2850364
198,2009 Nov-Dec,"van Ham F, Perer A","""Search, show context, expand on demand"": supporting large graph exploration with degree-of-interest.",IEEE transactions on visualization and computer graphics,19834159,10.1109/TVCG.2009.108,both_none_199,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_199
199,2009 Jan 30,"Jia Y, Huan J, Buhr V, Zhang J, Carayannopoulos LN","Towards comprehensive structural motif mining for better fold annotation in the ""twilight zone"" of sequence dissimilarity.",BMC bioinformatics,19208148,10.1186/1471-2105-10-S1-S46,PMC2648771,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2648771
200,2009,"Wang X, Smalter A, Huan J, Lushington GH",G-Hash: Towards Fast Kernel-based Similarity Search in Large Graph Databases.,Advances in database technology : proceedings. International Conference on Extending Database Technology,20428322,10.1145/1516360.1516416,PMC2860326,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2860326
201,2008 Dec 8,"Smalter A, Huan J, Lushington G",GPM: A Graph Pattern Matching Kernel with Diffusion for Chemical Compound Classification.,Proceedings. IEEE International Symposium on Bioinformatics and Bioengineering,20428463,10.1109/BIBE.2008.4696654,PMC2860184,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2860184
202,2008 Apr 25,"Ferro A, Giugno R, Mongiovì M, Pulvirenti A, Skripin D, Shasha D",GraphFind: enhancing graph searching by low support data mining techniques.,BMC bioinformatics,18460171,10.1186/1471-2105-9-S4-S10,PMC2367637,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2367637
203,2008,"Smalter AM, Huan J, Lushington GH",CHEMICAL COMPOUND CLASSIFICATION WITH AUTOMATICALLY MINED STRUCTURE PATTERNS.,Proceedings of the ... Asia-Pacific bioinformatics conference,20448828,10.1901/jaba.2008.6-39,PMC2864492,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2864492
204,2007 Sep 1,"Kim N, Lee C",QPRIMER: a quick web-based application for designing conserved PCR primers from multigenome alignments.,"Bioinformatics (Oxford, England)",17599926,10.1093/bioinformatics/btm343,both_none_205,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_205
205,2007 Jun 1,"Alekseyenko AV, Lee CJ",Nested Containment List (NCList): a new algorithm for accelerating interval query of genome alignment and interval databases.,"Bioinformatics (Oxford, England)",17234640,10.1093/bioinformatics/btl647,both_none_206,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_206
206,2007 Jan,"Kim N, Alekseyenko AV, Roy M, Lee C",The ASAP II database: analysis and comparative genomics of alternative splicing in 15 animal species.,Nucleic acids research,17108355,10.1093/nar/gkl884,PMC1669709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1669709
207,2005 Sep-Oct,"Magnor M, Kindlmann G, Hansen C, Duric N",Reconstruction and visualization of planetary nebulae.,IEEE transactions on visualization and computer graphics,16144246,10.1109/TVCG.2005.84,both_none_208,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_208
208,2005 Jul,"Gori M, Maggini M, Sarti L",Exact and approximate graph matching using random walks.,IEEE transactions on pattern analysis and machine intelligence,16013757,10.1109/tpami.2005.138,both_none_209,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_209
209,2022 Apr 20,Nguyen TN,Toward Human Digital Twins for Cybersecurity Simulations on the Metaverse: Ontological and Network Science Approach,JMIRx Med,0,10.2196/33502,PMC10414334,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10414334
210,2021 Jun 25,", , , , ",中文医学文献的实体关系提取研究及在糖尿病医学文献中的应用,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi = Journal of Biomedical Engineering,34180203,10.7507/1001-5515.202001009,PMC9927773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9927773
211,2023 Mar 21,"Su C, Hou Y, Zhou M, Rajendran S, Maasch JR, Abedi Z, Zhang H, Bai Z, Cuturrufo A, Guo W, Chaudhry FF, Ghahramani G, Tang J, Cheng F, Li Y, Zhang R, DeKosky ST, Bian J, Wang F",Biomedical discovery through the integrative biomedical knowledge hub (iBKH),iScience,37020958,10.1016/j.isci.2023.106460,PMC10068563,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10068563
212,2023 Mar 11,"Jawad MS, Dhawale C, Ramli AA, Mahdin H",Adoption of knowledge-graph best development practices for scalable and optimized manufacturing processes,MethodsX,36974325,10.1016/j.mex.2023.102124,PMC10038788,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10038788
213,2023 Feb 8,"Glen AK, Ma C, Mendoza L, Womack F, Wood EC, Sinha M, Acevedo L, Kvarfordt LG, Peene RC, Liu S, Hoffman AS, Roach JC, Deutsch EW, Ramsey SA, Koslicki D",ARAX: a graph-based modular reasoning tool for translational biomedicine,Bioinformatics,36752514,10.1093/bioinformatics/btad082,PMC10027432,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027432
214,2023 Mar 2,"McTear M, Jokinen K, Alam MM, Saleem Q, Napolitano G, Szczepaniak F, Hariz M, Chollet G, Lohr C, Boudy J, Azimi Z, Roelen SD, Wieching R",Interaction with a Virtual Coach for Active and Healthy Ageing,"Sensors (Basel, Switzerland)",36904957,10.3390/s23052748,PMC10007549,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10007549
215,2023 Mar 8,"Figaschewski M, Sürün B, Tiede T, Kohlbacher O",The personalized cancer network explorer (PeCaX) as a visual analytics tool to support molecular tumor boards,BMC Bioinformatics,36890446,10.1186/s12859-023-05194-3,PMC9993744,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9993744
216,2023 Feb 9,"Abe S, Tago S, Yokoyama K, Ogawa M, Takei T, Imoto S, Fuji M",Explainable AI for Estimating Pathogenicity of Genetic Variants Using Large-Scale Knowledge Graphs,Cancers,36831459,10.3390/cancers15041118,PMC9953952,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953952
217,2023 Feb 9,"Morris JH, Soman K, Akbas RE, Zhou X, Smith B, Meng EC, Huang CC, Cerono G, Schenk G, Rizk-Jackson A, Harroud A, Sanders L, Costes SV, Bharat K, Chakraborty A, Pico AR, Mardirossian T, Keiser M, Tang A, Hardi J, Shi Y, Musen M, Israni S, Huang S, Rose PW, Nelson CA, Baranzini SE",The scalable precision medicine open knowledge engine (SPOKE): a massive knowledge graph of biomedical information,Bioinformatics,36759942,10.1093/bioinformatics/btad080,PMC9940622,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9940622
218,2023 Feb 10,"Zowalla R, Pfeifer D, Wetter T",Readability and topics of the German Health Web: Exploratory study and text analysis,PLOS ONE,36763573,10.1371/journal.pone.0281582,PMC9916670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9916670
219,2023 Jan 26,"van Geenen D, Gray JW, Bounegru L, Venturini T, Jacomy M, Meunier A",Staying with the trouble of networks,Frontiers in Big Data,36776760,10.3389/fdata.2022.510310,PMC9911142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9911142
220,2023 Jan 26,"Court R, Costa M, Pilgrim C, Millburn G, Holmes A, McLachlan A, Larkin A, Matentzoglu N, Kir H, Parkinson H, Brown NH, O’Kane CJ, Armstrong JD, Jefferis GS, Osumi-Sutherland D",Virtual Fly Brain—An interactive atlas of the Drosophila nervous system,Frontiers in Physiology,36776967,10.3389/fphys.2023.1076533,PMC9908962,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9908962
221,2023 Mar 14,"Liu C, Yu H, Chen G, Yang Q, Wang Z, Niu N, Han L, Zhao D, Wang M, Liu Y, Yang Y",An herbal drug combination identified by knowledge graph alleviates the clinical symptoms of plasma cell mastitis patients: A nonrandomized controlled trial,eLife,36917037,10.7554/eLife.84414,PMC10063228,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10063228
222,2023 Feb 23,"Barrio-Hernandez I, Schwartzentruber J, Shrivastava A, del-Toro N, Gonzalez A, Zhang Q, Mountjoy E, Suveges D, Ochoa D, Ghoussaini M, Bradley G, Hermjakob H, Orchard S, Dunham I, Anderson CA, Porras P, Beltrao P",Network expansion of genetic associations defines a pleiotropy map of human cell biology,Nature Genetics,36823319,10.1038/s41588-023-01327-9,PMC10011132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10011132
223,2023 Feb 28,"Kariampuzha WZ, Alyea G, Qu S, Sanjak J, Mathé E, Sid E, Chatelaine H, Yadaw A, Xu Y, Zhu Q",Precision information extraction for rare disease epidemiology at scale,Journal of Translational Medicine,36855134,10.1186/s12967-023-04011-y,PMC9972634,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9972634
224,2023 Jan 20,"Xing X, Wang S, Liu W",An Improved DDPG and Its Application in Spacecraft Fault Knowledge Graph,"Sensors (Basel, Switzerland)",36772264,10.3390/s23031223,PMC9920032,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9920032
225,2023 Feb 1,"Ye Q, Yang R, Cheng CL, Peng L, Lan Y",Combining the External Medical Knowledge Graph Embedding to Improve the Performance of Syndrome Differentiation Model,Evidence-based Complementary and Alternative Medicine : eCAM,36777631,10.1155/2023/2088698,PMC9908338,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9908338
226,2023 Jan 24,"Torab-Miandoab A, Samad-Soltani T, Jodati A, Rezaei-Hachesu P",Interoperability of heterogeneous health information systems: a systematic literature review,BMC Medical Informatics and Decision Making,36694161,10.1186/s12911-023-02115-5,PMC9875417,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9875417
227,2023 Jan 24,"Tan SZ, Kir H, Aevermann BD, Gillespie T, Harris N, Hawrylycz MJ, Jorstad NL, Lein ES, Matentzoglu N, Miller JA, Mollenkopf TS, Mungall CJ, Ray PL, Sanchez RE, Staats B, Vermillion J, Yadav A, Zhang Y, Scheuermann RH, Osumi-Sutherland D",Brain Data Standards - A method for building data-driven cell-type ontologies,Scientific Data,36693887,10.1038/s41597-022-01886-2,PMC9873614,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9873614
228,2022 Oct 17,"van der Lee M, Swen JJ",Artificial intelligence in pharmacology research and practice,Clinical and Translational Science,36181380,10.1111/cts.13431,PMC9841296,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9841296
229,2022 Dec 1,"Raina P, Guinea R, Chatsirisupachai K, Lopes I, Farooq Z, Guinea C, Solyom CA, de Magalhães JP",GeneFriends: gene co-expression databases and tools for humans and model organisms,Nucleic Acids Research,36454018,10.1093/nar/gkac1031,PMC9825523,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9825523
230,2022 Oct 16,"Lu M, Zhang Y, Yang F, Mai J, Gao Q, Xu X, Kang H, Hou L, Shang Y, Qain Q, Liu J, Jiang M, Zhang H, Bu C, Wang J, Zhang Z, Zhang Z, Zeng J, Li J, Xiao J",TWAS Atlas: a curated knowledgebase of transcriptome-wide association studies,Nucleic Acids Research,36243959,10.1093/nar/gkac821,PMC9825460,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9825460
231,2022 Oct 28,"Kushner A, Petrov AS, Dao Duc K",RiboXYZ: a comprehensive database for visualizing and analyzing ribosome structures,Nucleic Acids Research,36305870,10.1093/nar/gkac939,PMC9825457,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9825457
232,2022 Sep 28,"Li F, Chen Y, Anton M, Nielsen J",GotEnzymes: an extensive database of enzyme parameter predictions,Nucleic Acids Research,36169223,10.1093/nar/gkac831,PMC9825421,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9825421
233,2023 Jan 1,"Lehmann J, Schorz S, Rache A, Häußermann T, Rädle M, Reichwald J",Establishing Reliable Research Data Management by Integrating Measurement Devices Utilizing Intelligent Digital Twins,"Sensors (Basel, Switzerland)",36617065,10.3390/s23010468,PMC9824845,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9824845
234,2023 Jan 2,"Gajendran S, Manjula D, Sugumaran V, Hema R",Extraction of knowledge graph of Covid-19 through mining of unstructured biomedical corpora,Computational Biology and Chemistry,36621289,10.1016/j.compbiolchem.2022.107808,PMC9807269,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9807269
235,2022 Dec 8,"Priestley DR, Staph J, Koneru SD, Rajtmajer SM, Cwiek A, Vervoordt S, Hillary FG","Establishing ground truth in the traumatic brain injury literature: if replication is the answer, then what are the questions?",Brain Communications,36601624,10.1093/braincomms/fcac322,PMC9806718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9806718
236,2022 Nov 9,"Rossignol P, Duarte K, Bresso E, A Å, Devignes MD, Eriksson N, Girerd N, Glerup R, Jardine AG, Holdaas H, Lamiral Z, Leroy C, Massy Z, März W, Krämer B, Wu PH, Schmieder R, Soveri I, Christensen JH, Svensson M, Zannad F, Fellström B",NT-proBNP and stem cell factor plasma concentrations are independently associated with cardiovascular outcomes in end-stage renal disease hemodialysis patients,European Heart Journal Open,36600882,10.1093/ehjopen/oeac069,PMC9797490,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797490
237,2022 Nov 3,"Dong S, Shi C, Zeng W, Jia Z, Dong M, Xiao Y, Li G",The Application of Graph Theoretical Analysis to Complex Networks in Medical Malpractice in China: Qualitative Study,JMIR Medical Informatics,36326815,10.2196/35709,PMC9673000,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9673000
238,2022 Nov 11,"Di Rocco L, Ferraro Petrillo U, Rombo SE",DIAMIN: a software library for the distributed analysis of large-scale molecular interaction networks,BMC Bioinformatics,36368948,10.1186/s12859-022-05026-w,PMC9652854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9652854
239,2022 Oct 27,"Zhu Q, Chen YZ, Xu Y",Editorial: Biomedical informatics applications in rare diseases,Frontiers in Artificial Intelligence,36388397,10.3389/frai.2022.1051182,PMC9650434,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9650434
240,2022 Oct 18,"Haque AK, Arifuzzaman BM, Siddik SA, Kalam A, Shahjahan TS, Saleena TS, Alam M, Islam MR, Ahmmed F, Hossain MJ","Semantic Web in Healthcare: A Systematic Literature Review of Application, Research Gap, and Future Research Avenues",International Journal of Clinical Practice,36320897,10.1155/2022/6807484,PMC9596238,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9596238
241,2023 Jan 7,"Himmelstein DS, Zietz M, Rubinetti V, Kloster K, Heil BJ, Alquaddoomi F, Hu D, Nicholson DN, Hao Y, Sullivan BD, Nagle MW, Greene CS",Hetnet connectivity search provides rapid insights into how two biomedical entities are related,bioRxiv,36711546,10.1101/2023.01.05.522941,PMC9882000,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9882000
242,2023 Jan 11,"Khan W, Zaki N, Ahmad A, Bian J, Ali L, Mehedy Masud M, Ghenimi N, Ahmed LA",Infant Low Birth Weight Prediction Using Graph Embedding Features,International Journal of Environmental Research and Public Health,36674072,10.3390/ijerph20021317,PMC9859143,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9859143
243,2023 Jan 19,"Falda M, Atzori M, Corbetta M",Semantic wikis as flexible database interfaces for biomedical applications,Scientific Reports,36658254,10.1038/s41598-023-27743-9,PMC9851594,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9851594
244,2022 Dec 21,"Binsfeld Gonçalves L, Nesic I, Obradovic M, Stieltjes B, Weikert T, Bremerich J",Natural Language Processing and Graph Theory: Making Sense of Imaging Records in a Novel Representation Frame,JMIR Medical Informatics,36542426,10.2196/40534,PMC9813822,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9813822
245,2022 Jul 12,"Romano JD, Hao Y, Moore JH, Penning TM",Automating Predictive Toxicology Using ComptoxAI,Chemical research in toxicology,35819939,10.1021/acs.chemrestox.2c00074,PMC9805296,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9805296
246,2022 Dec 10,"Yang X, Yang J, Li R, Li H, Zhang H, Zhang Y",Complex Knowledge Base Question Answering for Intelligent Bridge Management Based on Multi-Task Learning and Cross-Task Constraints,Entropy,36554210,10.3390/e24121805,PMC9777930,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9777930
247,2022 Dec 12,"Liu M, Yu D",Towards intelligent E-learning systems,Education and Information Technologies,36532790,10.1007/s10639-022-11479-6,PMC9742041,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9742041
248,2022 Nov 21,"Guo Q, Li M, Wang W, Liu Y",A Dynamic Deployment Method of Security Services Based on Malicious Behavior Knowledge Base,"Sensors (Basel, Switzerland)",36433613,10.3390/s22229021,PMC9692741,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9692741
249,2022 Nov 2,"Li Z, Li Y, Sun Q, Qi B",Bearing Fault Diagnosis Method Based on Convolutional Neural Network and Knowledge Graph,Entropy,36359679,10.3390/e24111589,PMC9689069,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9689069
250,2022 Oct 17,"Novichkov PS, Chandonia JM, Arkin AP","CORAL: A framework for rigorous self-validated data modeling and integrative, reproducible data analysis",GigaScience,36251274,10.1093/gigascience/giac089,PMC9575582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9575582
251,2022 Oct 1,"Cristóbal T, Quesada-Arencibia A, de Blasio GS, Padrón G, Alayón F, García CR",Data mining methodology for obtaining epidemiological data in the context of road transport systems,Journal of Ambient Intelligence and Humanized Computing,36212894,10.1007/s12652-022-04427-2,PMC9525233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525233
252,2022 Sep 30,"Radoux CJ, Vianello F, McGreig J, Desai N, Bradley AR",The druggable genome: Twenty years later,Frontiers in Bioinformatics,36304325,10.3389/fbinf.2022.958378,PMC9580872,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9580872
253,2022 Sep 29,"Wood EC, Glen AK, Kvarfordt LG, Womack F, Acevedo L, Yoon TS, Ma C, Flores V, Sinha M, Chodpathumwan Y, Termehchy A, Roach JC, Mendoza L, Hoffman AS, Deutsch EW, Koslicki D, Ramsey SA",RTX-KG2: a system for building a semantically standardized knowledge graph for translational biomedicine,BMC Bioinformatics,36175836,10.1186/s12859-022-04932-3,PMC9520835,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9520835
254,2022 Sep 28,"Varadi M, Anyango S, Appasamy SD, Armstrong D, Bage M, Berrisford J, Choudhary P, Bertoni D, Deshpande M, Leines GD, Ellaway J, Evans G, Gaborova R, Gupta D, Gutmanas A, Harrus D, Kleywegt GJ, Bueno WM, Nadzirin N, Nair S, Pravda L, Afonso MQ, Sehnal D, Tanweer A, Tolchard J, Abrams C, Dunlop R, Velankar S"," PDBe and PDBe‐KB: Providing high‐quality, up‐to‐date and integrated resources of macromolecular structures to support basic and applied research and education",Protein Science : A Publication of the Protein Society,36173162,10.1002/pro.4439,PMC9517934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9517934
255,2022 Sep 24,"Kumar A, Wagatsuma H",A Kamm’s Circle-Based Potential Risk Estimation Scheme in the Local Dynamic Map Computation Enhanced by Binary Decision Diagrams,"Sensors (Basel, Switzerland)",36236353,10.3390/s22197253,PMC9573438,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9573438
256,2022 Sep 21,"Tang W, Zhang X, Feng D, Wang Y, Ye P, Qu H",Knowledge graph of alpine skiing events: A focus on meteorological conditions,PLoS ONE,36129923,10.1371/journal.pone.0274164,PMC9491590,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9491590
257,2022 Sep 20,"Hashiguchi A, Hamada H, Takahashi S, Honda K","Impact of supervisors' research style on young biomedical scientists' capacity development as measured by REDi, a novel index of crossdisciplinarity",Frontiers in Research Metrics and Analytics,36204454,10.3389/frma.2022.990921,PMC9531751,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9531751
258,2022 Sep 8,"Robin V, Bodein A, Scott-Boyer MP, Leclercq M, Périn O, Droit A",Overview of methods for characterization and visualization of a protein–protein interaction network in a multi-omics integration context,Frontiers in Molecular Biosciences,36158572,10.3389/fmolb.2022.962799,PMC9494275,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9494275
259,2022 Sep 8,"Imbach F, Ragheb W, Leveau V, Chailan R, Candau R, Perrey S",Using global navigation satellite systems for modeling athletic performances in elite football players,Scientific Reports,36075956,10.1038/s41598-022-19484-y,PMC9458673,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9458673
