PMID,PMCID,DOI,Link Attachments,Title,1st B-Shortlist,2nd B-Shortlist,final decision,Category - 1st reviewer,Category - 2nd reviewer,Resource name,Availability,Updates,Used DB,Content,Reason for including/ excluding,Keywords,Reviewer keyword annotations,MeSH terms,Date,Author,Publication Title
31254167,PMC6599361,10.1186/s13321-019-0367-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6599361; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6599361/,Interoperable chemical structure search service; Interoperable chemical structure search service.,N,N,N,SOFTWARE,SOFTWARE,IDSM,https://idsm.elixir-czech.cz/,,,SPARQL service that makes interoperable substructure and similarity searches in small-molecule databases,excluded: not focused on GDB,Substructure search; Linked data; Interoperability; Small molecule databases,Chemistry; data retrieval,,2019-06-28; 2019 Jun 28,"Kratochvíl M, Vondrášek J, Galgonek J; Kratochvíl, Miroslav; Vondrášek, Jiří; Galgonek, Jakub",Journal of Cheminformatics
31184303,PMC6559788,10.7554/eLife.42866,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6559788/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6559788,The human gut chemical landscape predicts microbe-mediated biotransformation of foods and drugs.; The human gut chemical landscape predicts microbe-mediated biotransformation of foods and drugs,Y?,Y,Y,INTEGRATED,INTEGRATED,MicrobeFDT,https://github.com/kellylab/microbeFDT-neo4j,,Neo4j,A resource which clusters chemically similar drug and food compounds and links these compounds to microbial enzymes and known toxicities,included: a GDB resource for drugs and food compounds,chemical landscape; infectious disease; chemical biology; microbial metabolism; human; biochemistry; gut microbiome; microbiology,Biomedicine; compund toxicity,Diet; Bacteria [metabolism]; Carbohydrate Metabolism; Gastrointestinal Tract [chemistry]; Host Microbial Interactions; Biotransformation; Food; Pharmaceutical Preparations [metabolism]; Altretamine [chemistry]; Humans; Gastrointestinal Microbiome [physiology]; Molecular Structure,2019 Jun 11,"Guthrie L, Wolfson S, Kelly L; Kelly, Libusha; Wolfson, Sarah; Guthrie, Leah",eLife
31181796,PMC6600575,10.3390/ijms20112813,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6600575; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6600575/,Immortalization of Different Breast Epithelial Cell Types Results in Distinct Mitochondrial Mutagenesis.; Immortalization of Different Breast Epithelial Cell Types Results in Distinct Mitochondrial Mutagenesis,N,N,N,METHOD,METHOD,,,,,"Exploration of the whole mitochondrial genome of immortalized cells with respect to specific phenotypes using the Duplex Sequencing method, (which shows the lowest error rates among currently-available DNA sequencing methods).",excluded: no GDB use,mitochondrial tRNA; mitochondrial DNA; breast cancer; stem cells; duplex sequencing; next generation sequencing; rare mutation,health; genomics,"Genome, Mitochondrial; Breast [cytology]; Epithelial Cells [metabolism]; Adult Stem Cells [metabolism]; Cell Line, Tumor; Humans; Mutation Rate; Female; Point Mutation; RNA, Transfer [genetics]; Breast Neoplasms [genetics]",2019 Jun 8; 2019-06-08,"Kwon S, Kim SS, Nebeck HE, Ahn EH; Kim, Susan S.; Nebeck, Howard E.; Ahn, Eun Hyun; Kwon, Sujin",International Journal of Molecular Sciences
30596133,PMC6307338,10.1016/j.dib.2018.10.150,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307338; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307338/,Spatial distribution of marker gene activity in the mouse lung during alveolarization; Spatial distribution of marker gene activity in the mouse lung during alveolarization.,Y?,N,N,OTHERS,OTHERS,,https://lungmap.net,,,Curated collection of visual images of gene expression patterns from the pre- and post-natal mouse lung,excluded: out of scope,,Genetics,,2018-11-03; 2018 Nov 3,"Ambalavanan, Namasivayam; Ardini-Poleske, Maryanne E.; Aronow, Bruce J.; Umrod, Tipparat; Kao, Rong J.; Nicola, Teodora; Ahangari, Farida; Ljungberg, M. Cecilia; Ljungberg MC, Sadi M, Wang Y, Aronow BJ, Xu Y, Kao RJ, Liu Y, Gaddis N, Ardini-Poleske ME, Umrod T, Ambalavanan N, Nicola T, Kaminski N, Ahangari F, Sontag R, Corley RA, Ansong C, Carson JP; Xu, Yan; Ansong, Charles; Sontag, Ryan; Sadi, Mayce; Liu, Ying; Kaminski, Naftali; Corley, Richard A.; Wang, Yunguan; Carson, James P.; Gaddis, Nathan",Data in Brief
30095202,PMC7374944,10.1002/humu.23610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7374944/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7374944,Copy number variant discrepancy resolution using the ClinGen dosage sensitivity map results in updated clinical interpretations in ClinVar.; Copy Number Variant Discrepancy Resolution Using the ClinGen Dosage Sensitivity Map Results in Updated Clinical Interpretations in ClinVar,Y?,N,N,METHOD,METHOD,,,,,Detection of CNV discrepancy in ClinVar,excluded: out of scope,CNV discrepancy; ClinVar; variant interpretation; ClinGen; dosage sensitivity,Genetics; Health,"Databases, Genetic; Genome, Human [genetics]; Genetic Variation [genetics]; Humans; DNA Copy Number Variations [genetics]; Data Curation",2018 Nov; 2018-11,"Riggs, Erin R.; Collins, Christin D.; Neufeld-Kaiser, Whitney; Liu, Yajuan; Bunke, Brian; Strong, Emma; Vokac, Nadja Kokalj; Andersen, Erica; Tayeh, Marwan K.; Thorland, Erik C.; Su, Meng; Merz, Andrew; Li, Guang; Krgovic, Danijela; Lamb, Allen N.; Martin, Christa L.; Stavropoulos, Dimitri J.; Riggs ER, Nelson T, Merz A, Ackley T, Bunke B, Collins CD, Collinson MN, Fan YS, Goodenberger ML, Golden DM, Haglund-Hazy L, Krgovic D, Lamb AN, Lewis Z, Li G, Liu Y, Meck J, Neufeld-Kaiser W, Runke CK, Sanmann JN, Stavropoulos DJ, Strong E, Su M, Tayeh MK, Vokac NK, Thorland EC, Andersen E, Martin CL; Lewis, Zoe; Sanmann, Jennifer N.; Goodenberger, McKinsey L.; Ackley, Todd; Golden, Denae M.; Collinson, Morag N.; Haglund-Hazy, Linda; Nelson, Tristan; Fan, Yao-Shan; Runke, Cassandra K.; Meck, Jeanne",Human mutation
33501002,PMC7805659,10.3389/frobt.2018.00123,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7805659; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7805659/,"A Multimodal Analytics Platform for Journalists Analyzing Large-Scale, Heterogeneous Multilingual, and Multimedia Content.; A Multimodal Analytics Platform for Journalists Analyzing Large-Scale, Heterogeneous Multilingual, and Multimedia Content",N,N,N,SOFTWARE,OTHERS,,,,GraphDB,Platform integrating multimodal analytics techniques for journalism,excluded: out of scope,semantic analysis; knowledge extraction; journalism; multimodal analytics platform; big data; multilingual content analysis,Journalism; semantics analysis,,2018 Oct 29; 2018-10-29,"Moumtzidou, Anastasia; Jamin, Emmanuel; Bilous, Andriy; Busch, Reinhard; Heise, Nicolaus; Arapakis, Ioannis; Vrochidis S, Moumtzidou A, Gialampoukidis I, Liparas D, Casamayor G, Wanner L, Heise N, Wagner T, Bilous A, Jamin E, Simeonov B, Alexiev V, Busch R, Arapakis I, Kompatsiaris I; Gialampoukidis, Ilias; Simeonov, Boyan; Alexiev, Vladimir; Wagner, Tilman; Liparas, Dimitris; Vrochidis, Stefanos; Wanner, Leo; Kompatsiaris, Ioannis; Casamayor, Gerard",Frontiers in Robotics and AI
30352578,PMC6199797,10.1186/s12859-018-2393-x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6199797/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6199797,3D Network exploration and visualisation for lifespan data.; 3D Network exploration and visualisation for lifespan data,Y?,Y,Y,SOFTWARE,SOFTWARE,JaNet,https://sysbio.uni-ulm.de/software/janet/,,Neo4j,A tool for 3D exploration and visualization of lifespan data,included: a tool for lifespan data exploration backed by a GDB,3D visualization; AgeFactDB; Ageing; Differentially expressed genes; Lifespan; Ageing factor database; Gene network,Aging; Visalization,"Gene Regulatory Networks; Gene Ontology; Aging [genetics]; User-Computer Interface; Software; Longevity [genetics]; Computer Graphics; Humans; Databases, Factual",2018 Oct 23; 2018-10-23,"Hühne R, Kessler V, Fürstberger A, Kühlwein S, Platzer M, Sühnel J, Lausser L, Kestler HA; Hühne, Rolf; Sühnel, Jürgen; Kühlwein, Silke; Kestler, Hans A.; Lausser, Ludwig; Fürstberger, Axel; Kessler, Viktor; Platzer, Matthias",BMC Bioinformatics
30374293,PMC6196278,10.3389/fncir.2018.00085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6196278/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6196278,Analysis Tools for Large Connectomes.; Analysis Tools for Large Connectomes,Y?,N,N,REVIEW,REVIEW,,,,,Review on analysis tools for large connectomes,excluded: out of scope,reproducibility; analysis of connectomes; neural circuits; neural simulation; EM reconstruction,connectomics; Neuroscience,Drosophila; Nerve Net [physiology]; Data Analysis; Humans; Brain [physiology]; Connectome [methods]; Animals,2018-10-15; 2018 Oct 15,"Scheffer LK; Scheffer, Louis K.",Frontiers in Neural Circuits
30367585,PMC6191940,10.1186/s12859-018-2298-8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191940; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191940/,Arena-Idb: a platform to build human non-coding RNA interaction networks.; Arena-Idb: a platform to build human non-coding RNA interaction networks,N?,N,N,INTEGRATED,INTEGRATED,,,,Neo4j,Platform to build human non-coding RNA interaction networks using data integration,excluded: out of scope,Non-coding RNA; Database; Data integration; Network,Genetics; data integration,"Gene Regulatory Networks; Databases, Genetic; User-Computer Interface; Software; Humans; RNA, Untranslated [genetics]",2018-10-15; 2018 Oct 15,"Bonnici, Vincenzo; Bombieri, Nicola; Caro, Giorgio De; Bonnici V, Caro GD, Constantino G, Liuni S, D’Elia D, Bombieri N, Licciulli F, Giugno R; Licciulli, Flavio; Liuni, Sabino; Constantino, Giorgio; Giugno, Rosalba; D’Elia, Domenica",BMC Bioinformatics
30323202,PMC6189122,10.1038/s41598-018-33498-5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6189122; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6189122/,Distinct co-expression networks using multi-omic data reveal novel interventional targets in HPV-positive and negative head-and-neck squamous cell cancer.; Distinct co-expression networks using multi-omic data reveal novel interventional targets in HPV-positive and negative head-and-neck squamous cell cancer,N,N,N,METHOD,METHOD,,,,,Detection of novel interventional targets in HPV-positive and negative head-and-neck squamous cell cancer; HPV,excluded: out of scope,,Biomedicine:Cancer,"Gene Regulatory Networks; Squamous Cell Carcinoma of Head and Neck [diagnosis]; HIV; Head and Neck Neoplasms [diagnosis]; Datasets as Topic; Transcriptome; DNA Methylation; Papillomavirus Infections [diagnosis]; Biomarkers, Tumor [genetics]; HIV Seropositivity [genetics]; Gene Expression Profiling; Humans; Promoter Regions, Genetic; Gene Expression Regulation, Neoplastic; Coinfection [genetics]; HIV Seronegativity [genetics]",2018-10-15; 2018 Oct 15,"Boroni, Mariana; Soares, Marcelo A.; Costa, Raquel L.; Costa RL, Boroni M, Soares MA",Scientific Reports
30257640,PMC6158922,10.1186/s12859-018-2362-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6158922/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6158922,Efficient inference of homologs in large eukaryotic pan-proteomes.; Efficient inference of homologs in large eukaryotic pan-proteomes,Y?,Y,Y,SOFTWARE,METHOD; INTEGRATED,PanTools,https://github.com/sheikhizadeh/pantools,,Neo4j,A tool for the Inference of homologs in large eukaryotic pan-proteomes,included: a tool for inferring homologs backed by a GDB,k-mer; Pan-genome; Homologous genes; Protein similarity; Orthology,Proteomics; protein homology,"Databases, Protein; Sequence Homology, Amino Acid; Brassicaceae [genetics]; Genes, Plant; Eukaryota [metabolism]; Software; Humans; Genome; Proteome [metabolism]; Cluster Analysis; Algorithms; Genomics",2018-09-26; 2018 Sep 26,"Schranz, M. Eric; Sheikhizadeh Anari, Siavash; Smit, Sandra; de Ridder, Dick; Sheikhizadeh Anari S, de Ridder D, Schranz ME, Smit S",BMC Bioinformatics
30224793,PMC6322546,10.1038/s41684-018-0150-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6322546; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6322546/,Model organism data evolving in support of translational medicine; Model organism data evolving in support of translational medicine.,N,N,N,REVIEW,REVIEW,,,,,Review on data integration of model organisms for translational medicine,excluded: no GDB use,,data integration; Translational medicine,"Animals, Laboratory; Translational Research, Biomedical [methods]; Databases as Topic; Models, Animal; Animals",2018 Sep 17; 2018-10,"Howe DG, Blake JA, Bradford YM, Bult CJ, Calvi BR, Engel SR, Kadin JA, Kaufman T, Kishore R, Laulederkind SJ, Lewis SE, Moxon SA, Richardson JE, Smith C; Howe, Douglas G.; Bradford, Yvonne M.; Engel, Stacia R.; Kadin, James A.; Kaufman, Thom; Lewis, Suzanna E.; Bult, Carol J.; Laulederkind, Stanley J. F.; Moxon, Sierra A. T.; Smith, Cynthia; Blake, Judith A.; Calvi, Brian R.; Kishore, Ranjana; Richardson, Joel E.",Lab animal
30201843,PMC6158222,10.1098/rstb.2017.0380,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6158222/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6158222,Geppetto: a reusable modular open platform for exploring neuroscience data and models; Geppetto: a reusable modular open platform for exploring neuroscience data and models.,N?,N,N,SOFTWARE,SOFTWARE,,,,Neo4j,Geppetto: Platform for the exploration and visualization of neuroscience data and models.,excluded: out of scope,scientific software; modelling and simulation; computational neuroscience; neuroinformatics; computational biology; data visualization,Visualization; Neuroscience,"Caenorhabditis elegans [physiology]; Nervous System Physiological Phenomena; Drosophila melanogaster [physiology]; Software; Connectome [methods]; Animals; Neurosciences [methods]; Models, Neurological",2018 Sep 10; 2018-10-19,"Idili, Giovanni; Earnshaw, Matt; Marin, Boris; Silver, R. Angus; Court, Robert; Gleeson, Padraig; Dura-Bernal, Salvador; Cantarelli M, Marin B, Quintana A, Earnshaw M, Court R, Gleeson P, Dura-Bernal S, Silver RA, Idili G; Cantarelli, Matteo; Quintana, Adrian",Philosophical Transactions of the Royal Society B: Biological Sciences
29244012,PMC5731498,10.1186/s12859-017-1921-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5731498; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5731498/,Utilizing knowledge base of amino acids structural neighborhoods to predict protein-protein interaction sites; Utilizing knowledge base of amino acids structural neighborhoods to predict protein-protein interaction sites.,N,N,N,SOFTWARE,METHOD,,,,,INSPIRE: amino acids structural neighborhoods to predict protein-protein interaction sites,excluded: no GDB use,Data mining; Molecular fingerprints; Protein-protein interaction; Prediction,Data mining; PPI,"Databases, Protein; Knowledge Bases; Amino Acids [chemistry]; Models, Statistical; Software; Protein Interaction Mapping [methods]; Computational Biology; Proteins [chemistry]",2017-12-06; 2017 Dec 6,"Škoda, Petr; Hoksza, David; Jelínek, Jan; Jelínek J, Škoda P, Hoksza D",BMC Bioinformatics
29186305,PMC6585387,10.1093/bib/bbx151,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6585387/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6585387,Systems Bioinformatics: increasing precision of computational diagnostics and therapeutics through network-based approaches; Systems Bioinformatics: increasing precision of computational diagnostics and therapeutics through network-based approaches.,N?,N,N,REVIEW,REVIEW,,,,,Rreview on Systems Bioinformatics: network based approaches for computational diagnostics and therapeutics,excluded: no GDB use,network analysis; precision medicine; computational therapeutics; Systems Bioinformatics; drug repurposing; computational diagnostics,Systems Bioinformatics; precision medicine,"Diagnosis, Computer-Assisted; Biomarkers [metabolism]; Precision Medicine [methods]; Humans; Drug Repositioning; Systems Biology [methods]; Drug Discovery; Computational Biology",2017 Nov 27; 2017-11-27,"Oulas, Anastasis; Sokratous, Kleitos; Oulas A, Minadakis G, Zachariou M, Sokratous K, Bourdakou MM, Spyrou GM; Spyrou, George M; Zachariou, Margarita; Bourdakou, Marilena M; Minadakis, George",Briefings in Bioinformatics
29180758,PMC5703951,10.1038/s41598-017-16674-x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703951; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703951/,Knowledge graph prediction of unknown adverse drug reactions and validation in electronic health records.; Knowledge graph prediction of unknown adverse drug reactions and validation in electronic health records,Y?,Y,Y,SOFTWARE; INTEGRATED,METHOD,ADR-graph,https://github.com/KHP-Informatics/ADR-graph,,Neo4j,Knowledge-based machine learning tool to predict adverse drug reactions,included: Neo4j is used to store the knowledge graph (data from the DrugBank for drugs and from SIDER for side effects),,ADR prediction; Health,"Machine Learning; Electronic Health Records; Knowledge Bases; Reproducibility of Results; Humans; Prognosis; Algorithms; Public Health Surveillance; Drug-Related Side Effects and Adverse Reactions [epidemiology]; Databases, Factual",2017 Nov 27; 2017-11-27,"Wu, Honghan; Iqbal, Ehtesham; Dobson, Richard J. B.; Ibrahim, Zina M.; Dzahini, Olubanke; Bean DM, Wu H, Iqbal E, Dzahini O, Ibrahim ZM, Broadbent M, Stewart R, Dobson RJ; Stewart, Robert; Broadbent, Matthew; Bean, Daniel M.",Scientific Reports
29122012,PMC5679337,10.1186/s13326-017-0161-x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5679337/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5679337,Drug target ontology to classify and integrate drug discovery data; Drug target ontology to classify and integrate drug discovery data.,Y?,Y,Y,ONTOLOGY,ONTOLOGY,Drug Target Ontology,http://drugtargetontology.org,,Neo4j,The Drug Target Ontology: formalized and standardized classifications and annotations of druggable protein targets,included: Neo4j is used to interactively visualize the ontology (using the D3.js tool),,ontology; Health,Biological Ontologies; Proteins [classification]; Semantics; Drug Discovery [methods]; Drug Delivery Systems [methods]; Software; Humans; Computational Biology [methods],2017 Nov 9; 2017-11-09,"Oprea, Tudor I.; Schürer, Stephan C.; Mehta, Saurabh; Jensen, Lars Juhl; Duan, Jianbin; Mathias, Stephen L.; Vidovic, Dusica; Nguyen, Dac-Trung; Küçük-McGinty, Hande; Nabizadeh, Nooshin; Chung, Caty; Lin Y, Mehta S, Küçük-McGinty H, Turner JP, Vidovic D, Forlin M, Koleti A, Nguyen DT, Jensen LJ, Guha R, Mathias SL, Ursu O, Stathias V, Duan J, Nabizadeh N, Chung C, Mader C, Visser U, Yang JJ, Bologa CG, Oprea TI, Schürer SC; Lin, Yu; Mader, Christopher; Ursu, Oleg; Guha, Rajarshi; Forlin, Michele; Bologa, Cristian G.; Yang, Jeremy J.; Stathias, Vasileios; Visser, Ubbo; Turner, John Paul; Koleti, Amar",Journal of Biomedical Semantics
31258387,PMC6560828,10.1007/s00224-017-9802-9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560828/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560828,Complexity and Expressive Power of Weakly Well-Designed SPARQL.; Complexity and Expressive Power of Weakly Well-Designed SPARQL,N,N,N,OTHERS,OTHERS,,,,,Theoretical evaluation of and Complexity and Expressive Power of Weakly Well-Designed SPARQL,excluded: no GDB use,SPARQL; Optional matching; RDF query languages,SPARQL queries; Computer science,,2017 Aug 14,"Kaminski M, Kostylev EV; Kaminski, Mark; Kostylev, Egor V.",Theory of Computing Systems
29368755,PMC5750838,10.1007/s13222-016-0245-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5750838/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5750838,LIVIVO – the Vertical Search Engine for Life Sciences; LIVIVO - the Vertical Search Engine for Life Sciences.,Y?,N,N,SOFTWARE; INTEGRATED,INTEGRATED,,,,,LIVIVO: a search engine for life sciences,excluded: out of scope,Information Retrieval; LIVIVO; Text Mining; Knowledge Discovery; Life Sciences; Data Mining; Literature Search,Data mining; Literature Search,,2017 Jan 18,"Müller, Bernd; Gübitz, Thomas; Müller B, Poley C, Pössel J, Hagelstein A, Gübitz T; Hagelstein, Alexandra; Pössel, Jana; Poley, Christoph",Datenbank-Spektrum
29295165,PMC6528652,,https://doi.org/10.1017/cts.2017.69; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6528652; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6528652/,Prescription Opioid Dependence in Western New York: Using Data Analytics to Find an Answer to the Opioid Epidemic.; Prescription Opioid Dependence in Western New York: Using Data Analytics to Find an Answer to the Opioid Epidemic,N,N,N,METHOD,METHOD,,,,Neo4j,Use of Data Analytics at a regional level to study the trends of prescription opioid dependence; uses NLP to examine EHR data to study the trends of prescription opioid dependence in Western New York,excluded: out of scope,Substance-Related Disorders; Prescriptions; Natural Language Processing,Substance-Related Disorders; Health; Medicine,"Opioid-Related Disorders [epidemiology]; Natural Language Processing; Analgesics, Opioid; Drug Prescriptions; New York [epidemiology]; Humans; Drug Overdose; Databases, Factual",2017,"Elkin, Peter L; Leonard, Kenneth E; Sinha, Shyamashree; Murphy, Timothy F; Burstein, Gale R; Sinha S, Burstein GR, Leonard KE, Murphy TF, Elkin PL",Studies in health technology and informatics
31245557,PMC6516719,10.1002/lrh2.10019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6516719/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6516719,Embedding data provenance into the Learning Health System to facilitate reproducible research.; Embedding data provenance into the Learning Health System to facilitate reproducible research,Y?,Y,Y,REVIEW,REVIEW,,,,Neo4j,Review on the main challenges for reproducibility in medical resaearch and discussion on data provenance.,"included: Neo4j is used to store provenance graphs in Transform Study System, which exemplifies how data provenance can be used in healthcare.",health informatics; reproducibility; data provenance,Data provenance; Health,,2016-12-27; 2016 Dec 27,"Curcin, Vasa; Curcin V",Learning Health Systems
28051772,PMC5217475,10.1161/CIRCOUTCOMES.116.003041,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5217475/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5217475,Characterizing Teamwork in Cardiovascular Care Outcomes: A Network Analytics Approach; Characterizing Teamwork in Cardiovascular Care Outcomes: A Network Analytics Approach.,Y?,Y,Y,METHOD,METHOD,,,,Neo4j,A network analysis approach to quantify team (pairs) collaboration in cardiovascular care outcome,included: Neo4j is used to store the patient clinical data.,quality improvement; patient satisfaction; statistical model; inpatients; data mining; cardiology,Big Data; Health,"Humans; Delivery of Health Care, Integrated [organization & administration]; Treatment Outcome; Data Mining [methods]; Medical Staff, Hospital [organization & administration]; Cooperative Behavior; Quality Indicators, Health Care [organization & administration]; Cardiology Service, Hospital [organization & administration]; Retrospective Studies; Quality Improvement [standards]; Logistic Models; Interdisciplinary Communication; Cardiovascular Diseases [diagnosis]; Databases, Factual; Inpatients; Patient Satisfaction; Risk Factors; Nursing Staff, Hospital [organization & administration]; Process Assessment, Health Care [organization & administration]; Patient Care Team [organization & administration]",2016 Nov 8; 2016-11,"Scholtens, Denise M.; Gravenor, Stephanie J.; Frailey, Conor N.; Mutharasan, R. Kannan; Ahmad, Faraz S.; Carson, Matthew B.; Powell, Emilie S.; Carson MB, Scholtens DM, Frailey CN, Gravenor SJ, Powell ES, Wang AY, Kricke GS, Ahmad FS, Mutharasan RK, Soulakis ND; Wang, Amy Y.; Kricke, Gayle Shier; Soulakis, Nicholas D.",Circulation. Cardiovascular quality and outcomes
27932908,PMC5136645,10.3897/BDJ.4.e8443,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5136645; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5136645/,LifeWatch Greece data-services: Discovering Biodiversity Data using Semantic Web Technologies.; LifeWatch Greece data-services: Discovering Biodiversity Data using Semantic Web Technologies,Y?,Y,Y,SOFTWARE; INTEGRATED,INTEGRATED,LifeWatchGreece,https://metacatalogue.portal.lifewatchgreece.eu/,,Virtuoso (RDF),A set of data services for discovering biodiversity data,included: a set of data services for greek biodiversity backed by a GDB,Biodiversity Metadata; Data Discovery; Data Integration; Semantic Web,Biodiversity; Data integration,,2016-11-01; 2016 Nov 1,"Arvanitidis, Christos; Minadakis N, Marketakis Y, Doerr M, Bekiari C, Papadakos P, Gougousis A, Bailly N, Arvanitidis C; Bailly, Nicolas; Marketakis, Yannis; Gougousis, Alexandros; Doerr, Martin; Papadakos, Panagiotis; Bekiari, Chryssoula; Minadakis, Nikos",Biodiversity Data Journal
27751176,PMC5067895,10.1186/s13326-016-0091-z,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5067895/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5067895,Supporting the analysis of ontology evolution processes through the combination of static and dynamic scaling functions in OQuaRE; Supporting the analysis of ontology evolution processes through the combination of static and dynamic scaling functions in OQuaRE.,N,N,N,SOFTWARE,SOFTWARE,,,,,Use of OQuaRE for the analysis of ontology evolution processes,excluded: out of scope,Ontology metrics; Ontology repositories; Ontology quality; Oquare,Biomedicine; ontology,Biological Ontologies; Quality Control,2016 Oct 17; 2016-10-17,"Quesada-Martínez, Manuel; Fernández-Breis, Jesualdo Tomás; Duque-Ramos A, Quesada-Martínez M, Iniesta-Moreno M, Fernández-Breis JT, Stevens R; Stevens, Robert; Duque-Ramos, Astrid; Iniesta-Moreno, Miguela",Journal of Biomedical Semantics
26720074,PMC4699901,10.1371/journal.pone.0141892,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4699901; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4699901/,The Detection of Emerging Trends Using Wikipedia Traffic Data and Context Networks.; The Detection of Emerging Trends Using Wikipedia Traffic Data and Context Networks,N,N,N,METHOD,METHOD,,,,,Study of the emergence and life cycles of technological trends related to the emerging Hadoop market,excluded: out of scope,,Data anatytics,"Models, Theoretical; Internet; Humans",2015 Dec 31; 2015-12-31,"Kenett, Dror Y.; Kämpf, Mirko; Tessenow, Eric; Kantelhardt, Jan W.; Kämpf M, Tessenow E, Kenett DY, Kantelhardt JW",PLoS ONE
26652480,PMC4676132,10.1186/s12859-015-0836-1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676132/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676132,Bioinformatics approach to predict target genes for dysregulated microRNAs in hepatocellular carcinoma: study on a chemically-induced HCC mouse model.; Bioinformatics approach to predict target genes for dysregulated microRNAs in hepatocellular carcinoma: study on a chemically-induced HCC mouse model,N,Y?,N,SOFTWARE,SOFTWARE,,,,Neo4j,Approach to predict target genes for dysregulated microRNAs in hepatocellular carcinoma,excluded: out of scope,,hepatocellular carcinoma; transcriptomics; Health,"RNA, Messenger [genetics]; Gene Regulatory Networks; Mice; Mice, Inbred C57BL; MicroRNAs [genetics]; Liver Neoplasms [genetics]; Carcinoma, Hepatocellular [genetics]; Computational Biology [methods]; Protein Interaction Maps; Animals",2015 Dec 10; 2015-12-10,"Del Vecchio, Filippo; Di Marco, Antinisca; Zazzeroni, Francesca; Gallo, Francesco; Mastroiaco, Valentina; Tessitore, Alessandra; Alesse, Edoardo; Del Vecchio F, Gallo F, Di Marco A, Mastroiaco V, Caianiello P, Zazzeroni F, Alesse E, Tessitore A; Caianiello, Pasquale",BMC Bioinformatics
27013932,PMC4803025,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803025; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803025/,Measuring the Usability of Triple Stores for Knowledge Management on Trauma Care Organizations.; Measuring the Usability of Triple Stores for Knowledge Management on Trauma Care Organizations,N,N,N,METHOD,METHOD,,,,,Measure of the Usability of Triple Stores for Knowledge Management on Trauma Care Organizations,excluded: out of scope,,knowledge management; Health,,2015 Dec; 2015-12,"Utecht, Joseph; Utecht J, Brochhausen M; Brochhausen, Mathias",CEUR workshop proceedings
